"Country","Year","Sex","Age group","Mean total cholesterol (mmol/L)","Mean total cholesterol lower 95% uncertainty interval (mmol/L)","Mean total cholesterol upper 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol (mmol/L)","Mean non-HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean non-HDL cholesterol upper 95% uncertainty interval (mmol/L)","Mean HDL cholesterol (mmol/L)","Mean HDL cholesterol lower 95% uncertainty interval (mmol/L)","Mean HDL cholesterol upper 95% uncertainty interval (mmol/L)"
"Canada",2006,"Men","65-69",5.10205544299692,4.8876395704169,5.31502223293794,3.83275741767146,3.69215358136046,3.9783193027157,1.23262729934577,1.16159699511491,1.30421495861573
"Canada",2006,"Men","70-74",4.96896886333,4.75192846294075,5.18580767540107,3.69602168943414,3.54850252603572,3.84828946233262,1.23801059336136,1.16709247444262,1.30916033088496
"Canada",2006,"Men","75-79",4.83514549992262,4.6023716609699,5.05822362376782,3.56243368839653,3.3973245410023,3.73122499956935,1.24350028955703,1.17051777377703,1.31715118323675
"Canada",2006,"Men","80-84",4.71385085916202,4.45323656535154,4.97471057091854,3.4458861137481,3.23678237451022,3.65735776431839,1.25019596982081,1.16936438526854,1.33163988278607
"Canada",2006,"Men","85plus",4.59803931384084,4.23389027008539,4.96729270555122,3.34373490953045,3.00154972069412,3.69962884658507,1.26228047665819,1.15577783219768,1.37013875599851
"Canada",2007,"Men","18-19",4.01722728262066,3.85065917847194,4.18201330016918,2.73612853456298,2.59119035533522,2.88279815033672,1.23059671257398,1.16242778805265,1.30064833439251
"Canada",2007,"Men","20-24",4.31266435515912,4.15442445735975,4.46817119819236,3.04288350294325,2.9169766175695,3.16726936841548,1.225991130404,1.1607336207812,1.29135209947904
"Canada",2007,"Men","25-29",4.66606696902648,4.50765255275041,4.82657197900988,3.41054833483932,3.29573634007375,3.52236460631005,1.21782065670341,1.15367181802057,1.28002522905863
"Canada",2007,"Men","30-34",4.94138136597711,4.77268914460508,5.11240718053721,3.69703188079185,3.5837774175781,3.80774969098997,1.20949934187706,1.14588220453273,1.27166279569996
"Canada",2007,"Men","35-39",5.14158187610597,4.96310918582016,5.32486134975088,3.90436349825482,3.78909144070951,4.01850526358125,1.20293941552463,1.13939485988019,1.26614396573756
"Canada",2007,"Men","40-44",5.26964282950802,5.08372721639356,5.46104407815016,4.03457254468224,3.91501371101726,4.15396838220312,1.20005310724577,1.13515245669047,1.26459587301317
